Word,LgSUBTLWF,OLD,PLD,NSyll
chemistry,2.646,3.55,3.3,3
chest,3.32,1.75,1.65,1
chew,2.666,1.75,1.5,1
chicken,3.498,2.15,1.95,2
chief,3.599,1.85,1.6,1
child,3.905,1.85,1.85,1
children,3.951,3.45,3.7,2
China,3.103,1.9,1.95,2
chip,3.022,1.35,1.2,1
chocolate,3.176,3.55,2.9,2
choice,3.697,1.95,2,1
choose,3.389,1.85,1.55,1
Christ,3.663,2,1.95,1
Christmas,3.796,3.6,2.85,2
church,3.551,2.4,2.2,1
cigarette,3.133,3.75,4.1,3
circle,3.041,2.25,1.85,2
circus,2.94,2.25,1.75,2
city,3.936,1.9,1.45,2
clam,2.303,1.45,1.15,1
class,3.777,1.5,1.2,1
clay,2.788,1.55,1.55,1
clean,3.791,1.7,1.45,1
cleaner,2.549,1.8,1.9,2
clear,3.943,1.85,1.45,1
cliff,3.042,1.95,1.65,1
climate,2.258,2.45,2.35,2
climb,3.003,1.85,1.6,1
clipper,1.778,1.7,1.75,2
clock,3.476,1.45,1.15,1
close,4.049,1.6,1.15,1
closed,3.441,1.8,1.85,1
closing,3.125,1.95,1.95,2
cloth,2.494,1.85,1.65,1
clothes,3.713,2.35,1.15,1
cloudy,2.045,2.25,2,2
clown,2.907,1.8,1.7,1
club,3.702,1.85,1.75,1
clue,2.954,1.7,1.15,1
coat,3.332,1.35,1,1
cocaine,2.625,2.8,2,2
code,3.433,1.05,1,1
coffee,3.868,2.55,1.9,2
Coke,2.977,1.3,1,1
cold,3.822,1.15,1,1
collar,2.73,1.85,1.25,2
college,3.638,2.3,2.2,2
cologne,2.209,2.75,1.9,2
color,3.304,1.9,1.55,2
come,5.205,1.15,1,1
comfortable,3.382,3.65,3.5,4
comment,2.816,2,2.15,2
communism,2.033,2.8,3.95,4
communist,2.588,2.5,2.95,3
compact,1.94,2.45,2.65,2
company,3.876,2.7,2.6,3
computer,3.479,2.1,2.65,3
con,2.81,1,1,1
concert,2.952,1.7,2.5,2
concrete,2.58,2.85,2.95,2
condom,2.422,2.4,1.9,2
conference,3.113,2.65,2.8,3
confess,2.908,2.15,2.45,2
confusion,2.561,2.35,2.6,3
congress,2.623,2.7,2.75,2
continent,2.274,2.4,2.95,3
control,3.824,2.85,2.55,2
cook,3.366,1.25,1.15,1
cool,4,1.45,1,1
cop,3.643,1,1,1
copy,3.426,1.7,1.45,2
coral,2.086,1.75,1.55,2
corn,2.861,1.2,1,1
cotton,2.86,2,1.8,2
couch,3.079,1.6,1.75,1
cough,2.652,1.7,1.35,1
country,3.917,2.3,2.3,2
course,4.395,1.85,1.05,1
court,3.711,1.85,1,1
cover,3.682,1.25,1.65,2
cow,3.115,1,1,1
cowboy,2.986,2.7,2.8,2
crab,2.548,1.55,1.3,1
crack,3.224,1.6,1,1
cracker,2.47,1.85,1.75,2
crackle,1.556,1.85,1.85,2
crafts,1.851,1.8,1.7,1
crash,3.165,1.65,1.2,1
crayon,1.342,2.55,1.85,2
crazy,4.143,1.95,1.9,2
create,3.111,1.75,1.75,2
creator,2.155,2.1,1.85,3
crime,3.56,1.65,1.45,1
criminal,3.245,2.8,2.85,3
crooked,2.464,1.75,2.65,2
crops,2.127,1.55,1.65,1
crowd,3.28,1.75,1.45,1
crunchy,1.69,2.5,2.4,2
cry,3.525,1.7,1.15,1
cuddle,2.045,1.75,1.45,2
cup,3.421,1.4,1.05,1
cure,3.027,1.15,1.7,1
curtains,2.508,2.55,2.25,2
cut,4.069,1.15,1,1
cute,3.651,1.5,1.55,1
dad,4.413,1.15,1,1
dagger,2.401,1.9,1.9,2
daily,2.902,1.75,1.55,2
dam,2.468,1,1,1
dance,3.878,1.65,1.6,1
dancer,2.92,1.65,1.75,2
danger,3.348,1.65,2.1,2
dangerous,3.582,3.1,3.55,3
daring,2.332,1.65,1.55,2
dark,3.655,1.5,1.4,1
data,3.116,1.9,1.75,2
date,3.858,1,1,1
day,4.612,1.15,1,1
days,4.193,1.55,1,1
dead,4.36,1.4,1,1
deaf,2.87,1.75,1.4,1
death,4.043,1.85,1.5,1
decay,2.025,1.8,1.85,2
decide,3.41,1.75,1.7,2
decision,3.449,2.4,2.35,3
deep,3.591,1.5,1.05,1
deer,2.648,1.35,1,1
defeat,2.764,1.9,1.85,2
defense,3.222,2.25,1.95,2
definition,2.473,2.8,2.65,4
deodorant,1.919,3.95,4.75,4
dependable,1.935,3.25,2.9,4
dependent,2.061,2.35,2.15,3
descend,1.996,2.45,1.65,2
desert,3.155,1.9,2.65,2
desk,3.35,1.8,1.75,1
destroy,3.381,2.85,2.6,2
destruction,2.769,2.7,2.55,3
devil,3.324,1.9,1.8,2
diamond,3.023,2.9,2.3,2
diary,2.662,1.95,2.05,2
dictionary,2.281,3.55,3.75,4
die,4.125,1,1,1
different,4.029,2.7,2.65,2
dill,1.959,1.2,1,1
dime,2.79,1.3,1,1
dinner,4.014,1.75,1.4,2
