"Trial","task_condition","RT","LinguisticSimilarity","VisualSimilarity_VGGF_L7","LgSUBTLWF.prime","LgSUBTLWF.target","Length.prime","Length.target","OLD.prime","OLD.target","PLD.prime","PLD.target","NSyll.prime","NSyll.target","LgSUBTLCD.prime","LgSUBTLCD.target"
"CASE_LID","LDT_short",699.375,0.29286,0.64504,4.159,2.401,4,3,1,1.15,1,1,1,1,3.689,2.342
"COFFEE_LIFE","LDT_short",654.0323,0.20423,0.71937,3.868,4.609,6,4,2.55,1.45,1.9,1.1,2,1,3.483,3.881
"TORCH_LOSER","LDT_short",738.5152,0.10226,0.64187,2.406,3.14,5,5,1.9,1.5,1.9,1.5,1,2,2.295,2.962
"THRESHOLD_MAIL","LDT_short",651.2121,-0.07846,0.71863,2.152,3.274,9,4,3.6,1.1,3.95,1,2,1,2.079,3.046
"ARROW_MAKER","LDT_short",694.8387,0.11328,0.86837,2.603,2.401,5,5,1.7,1.65,1.1,1.55,2,2,2.297,2.316
"MOTHER_MALE","LDT_short",538.9063,0.17838,0.95875,4.389,3.239,6,4,1.8,1,1.7,1,2,1,3.745,3.044
"CROCODILE_MALL","LDT_short",639.9688,0.10864,0.52722,2.064,2.985,9,4,4,1.1,4,1,3,1,1.851,2.63
"COBRA_MAZE","LDT_short",763.625,0.089708,0.73185,2.233,2.117,5,4,2,1.25,2.45,1,2,1,1.792,1.903
"CHIP_MEAT","LDT_short",664.9688,0.1987,0.8428,3.022,3.348,4,4,1.35,1.05,1.2,1,1,1,2.691,3.11
"LATCH_MOTORCYCLE","LDT_short",751.5806,0.081446,0.64584,1.996,2.659,5,10,1.65,4.65,1.5,5.55,1,4,1.869,2.387
"COLESLAW_MOUSE","LDT_short",666.4516,0.20422,0.65147,1.806,2.989,8,5,3.85,1.55,2.95,1.45,2,1,1.568,2.603
"HAND_NECKLACE","LDT_short",637.8065,0.31106,0.74221,4.154,2.697,4,8,1.35,3.4,1.1,1.95,1,2,3.745,2.447
"SUB_NEEDLE","LDT_short",661.0968,0.048666,0.56858,2.592,2.785,3,6,1.25,2.15,1.1,1.65,1,2,2.161,2.636
"POCKETBOOK_NEWSPAPER","LDT_short",744.75,0.11251,0.72799,1.887,3.082,10,9,4.4,3.6,3.9,3.6,3,3,1.756,2.877
"ROD_NOVICE","LDT_short",767.4839,-0.00928,0.59414,2.739,1.623,3,6,1.1,2.2,1,2,1,2,2.425,1.58
"OREGANO_NUT","LDT_short",594.0667,0.15609,0.73155,1.633,2.902,7,3,2.85,1.4,3,1,4,1,1.544,2.742
"BIT_OCTOPUS","LDT_short",756.3125,0.15599,0.66403,4.079,2,3,7,1,3,1,3,1,3,3.706,1.813
"NAG_OVEN","LDT_short",588.2813,0.093856,0.50042,2.049,2.657,3,4,1.25,1.6,1.05,1.85,1,2,1.806,2.521
"WINDOW_OWL","LDT_short",639.3438,0.10103,0.65562,3.642,2.458,6,3,2.2,1.4,1.85,1.15,2,1,3.388,2.14
"BOOK_OYSTER","LDT_short",732.9688,0.070621,0.67496,3.955,2.196,4,6,1.2,1.9,1,1.85,1,2,3.511,2.017
"HOTEL_PAVEMENT","LDT_short",737.3438,0.060934,0.81676,3.721,2.017,5,8,1.85,2.55,2.45,2.4,2,2,3.306,1.968
"SURFACE_PEOPLE","LDT_short",641.129,0.16951,0.66778,2.969,4.75,7,6,2.5,2.3,1.75,1.8,2,2,2.736,3.897
"LIZARD_PERFUME","LDT_short",669.4375,0.1305,0.59598,2.394,2.766,6,7,2.5,2.6,1.75,3.3,2,2,2.064,2.593
"IRON_PLAIN","LDT_short",711.3438,0.12556,0.35086,2.962,3.047,4,5,1.7,1.7,1.85,1.2,1,1,2.795,2.921
"MACHINE_PRIEST","LDT_short",641.5,0.081857,0.67965,3.554,3.126,7,6,2.35,1.95,2.55,1.75,2,1,3.274,2.719
"OCEAN_PRINT","LDT_short",651.2813,0.082061,0.65949,3.189,3.008,5,5,1.95,1.75,1.7,1.7,2,1,2.936,2.804
"BILLBOARD_PUDDING","LDT_short",811.0968,-0.01322,0.55895,1.845,2.498,9,7,3.25,1.85,2.65,1.55,2,2,1.785,2.303
"CABINET_PUSH","LDT_short",630.4848,0.11946,0.70557,2.629,3.556,7,4,2.5,1.35,2.9,1.45,3,1,2.495,3.323
"CUSTARD_RACE","LDT_short",628.5161,0.12092,0.52694,1.813,3.499,7,4,2.7,1,1.75,1,2,1,1.613,3.063
"PIG_RADIO","LDT_short",646.0606,0.12132,0.58206,3.3,3.595,3,5,1.25,1.85,1,1.85,1,3,3.024,3.211
"TOE_RIDE","LDT_short",739.875,0.17011,0.63594,2.812,3.839,3,4,1,1,1,1,1,1,2.588,3.494
"ANTEATER_RING","LDT_short",726.9355,0.14337,0.61951,1.079,3.675,8,4,2.95,1.3,3.4,1,3,1,1.079,3.317
"CALCULATOR_RIP","LDT_short",826.0313,0.047864,0.68947,1.826,3.012,10,3,3.3,1,3.55,1,4,1,1.724,2.884
"SABER_ROCK","LDT_short",653.6875,0.04617,0.48593,1.623,3.643,5,4,1.8,1.2,1.6,1,2,1,1.532,3.28
"OFFICE_ROCKET","LDT_short",702.1875,0.064719,0.73022,4.017,2.782,6,6,2.5,1.6,2,1.65,2,2,3.599,2.461
"IDOL_ROSE","LDT_short",675.7188,0.1557,0.67605,2.152,3.432,4,4,1.95,1,1.3,1,2,1,2.013,2.92
"CAR_SALAD","LDT_short",706.3438,0.2163,0.61475,4.392,2.939,3,5,1,1.95,1,1.85,1,2,3.712,2.769
"WAREHOUSE_SCIENTIST","LDT_short",887.9375,0.11475,0.74854,2.708,2.794,9,9,2.5,3.7,2.9,3.05,2,2,2.498,2.6
"AMBULANCE_SCISSORS","LDT_short",740.7188,0.15849,0.61596,3.058,2.534,9,8,3.2,3.3,3.15,1.8,3,2,2.862,2.318
"KING_SELLER","LDT_short",790.25,0.044566,0.79975,3.819,2.053,4,6,1.5,1.75,1,1.45,1,2,3.228,1.935
"LINEN_SHARK","LDT_short",629.3125,-0.01139,0.64911,2.176,2.884,5,5,1.75,1.5,2,1.4,2,1,2.072,2.413
"HUMAN_SHIRT","LDT_short",615.125,0.10493,0.78318,3.804,3.374,5,5,1.9,1.7,1.8,1.5,2,1,3.467,3.146
"UNIFORM_SHOP","LDT_short",560.2813,0.16107,0.83399,3.103,3.437,7,4,2.65,1.4,3.2,1.1,3,1,2.908,3.208
"TWIN_SHORT","LDT_short",634.3125,0.037301,0.72684,2.727,3.64,4,5,1.6,1.45,1.55,1.5,1,1,2.531,3.451
"FALL_SHOVEL","LDT_short",822.9063,0.193,0.62725,3.781,2.544,4,6,1.3,1.85,1,1.8,1,2,3.522,2.403
"CREVICE_SILK","LDT_short",643.1613,0.14495,0.67082,1.342,2.699,7,4,2.7,1.5,2.4,1.4,2,1,1.301,2.539
"KNIFE_SKI","LDT_short",704.7273,0.17689,0.75116,3.378,2.617,5,3,2.15,1.65,1.5,1.7,1,1,3.099,2.348
"FAN_SKIN","LDT_short",777.0313,0.067477,0.75934,3.254,3.352,3,4,1,1.35,1,1.2,1,1,3.041,3.186
"PAIL_SLIP","LDT_short",649.0645,0.25137,0.7527,1.69,3.121,4,4,1,1.3,1,1.05,1,1,1.613,3.019
"PLAID_SOCKET","LDT_short",676.0625,0.085922,0.78835,1.919,1.919,5,6,1.75,1.7,1.2,1.6,1,2,1.863,1.887
"SPIDER_SODA","LDT_short",645.9032,0.15683,0.61547,2.713,3.006,6,4,1.95,1.8,1.8,1.8,2,2,2.365,2.825
"JAR_SPAGHETTI","LDT_short",673.875,0.14982,0.75592,2.628,2.481,3,9,1.2,4.6,1.45,3.55,1,3,2.474,2.29
"DRUM_SPAN","LDT_short",792.7813,-0.112,0.65828,2.636,2.009,4,4,1.8,1.2,1.5,1.3,1,1,2.433,1.94
"CARTON_SPINACH","LDT_short",777.0625,0.15534,0.59089,1.987,2.117,6,7,1.85,2.9,1.75,2.75,2,2,1.914,1.959
"COURT_SPREAD","LDT_short",692.3438,0.000366,0.66517,3.711,3.203,5,6,1.85,1.95,1,1.85,1,1,3.265,3.077
"COMPASS_SPRING","LDT_short",634.2188,0.082266,0.83148,2.318,3.204,7,6,2.4,1.55,2,1.45,2,1,2.097,3.012
"SEED_SQUIRREL","LDT_short",715.7813,0.18047,0.50746,2.588,2.447,4,8,1,2.85,1,3.35,1,2,2.446,2.22
"BLACKBOARD_STAIR","LDT_short",767.1875,0.11282,0.79718,1.785,1.845,10,5,3.35,1.75,2.9,1.25,2,1,1.663,1.663
"DRUNK_STAMP","LDT_short",700.7097,0.033869,0.6759,3.592,2.481,5,5,1.75,1.7,1.7,1.7,1,1,3.305,2.348
"CHARCOAL_STAR","LDT_short",643.4839,0.060468,0.81303,1.959,3.618,8,4,3.65,1.2,3,1.25,2,1,1.833,3.26
"CELERY_STAY","LDT_short",672.5625,0.22317,0.59961,1.982,4.42,6,4,2.45,1.35,1.95,1.1,3,1,1.806,3.835
"SPOT_STICK","LDT_short",708.4194,0.25639,0.78498,3.497,3.695,4,5,1.45,1.5,1.45,1,1,1,3.308,3.477
"PUDDING_STIFF","LDT_short",711.375,0.137,0.78276,2.498,2.719,7,5,1.85,1.75,1.55,1.55,2,1,2.303,2.653
"OINTMENT_STONE","LDT_short",634.6563,0.11577,0.48496,1.924,3.317,8,5,2.8,1.45,2.8,1.15,2,1,1.806,2.973
"BALCONY_STORAGE","LDT_short",637.3125,0.14951,0.77787,2.573,2.656,7,7,2.8,2.55,2.6,2.5,3,2,2.428,2.514
"WHITE_STORE","LDT_short",659.8065,0.16948,0.69703,3.942,3.621,5,5,1.75,1.15,1.65,1.1,1,1,3.526,3.332
"PAN_STRAP","LDT_short",799.9677,0.14495,0.76802,2.798,2.422,3,5,1,1.7,1,1.7,1,1,2.565,2.338
"WHISKEY_STUDY","LDT_short",668.3438,0.10865,0.63284,2.915,3.398,7,5,2.45,1.85,2.15,1.7,2,2,2.643,3.152
"LOBE_STYLE","LDT_short",639.9355,0.000799,0.5276,1.982,3.186,4,5,1.5,1.8,1.15,1.6,1,1,1.845,3.044
"PASTE_SUPERMAN","LDT_short",708.75,0.035036,0.61354,1.944,2.795,5,8,1.35,2.95,1,4,1,3,1.857,2.22
"ORDINARY_SWING","LDT_short",659.4688,0.086695,0.79021,2.989,3.123,8,5,3,1.35,3.7,1.1,4,1,2.851,2.933
"CASHEW_SWORD","LDT_short",620.0313,0.068278,0.72888,1.079,3.126,6,5,1.9,1.8,1.75,1,2,1,0.903,2.666
"TORTOISE_SYRUP","LDT_short",734.6129,0.1357,0.54464,1.763,2.417,8,5,3.35,2.35,1.95,1.9,2,2,1.447,2.199
"MAGNET_SYSTEM","LDT_short",668.3125,0.029445,0.84956,2.149,3.669,6,6,2.1,2.7,2.05,1.9,2,2,1.978,3.35
"TOAD_TAPE","LDT_short",637.5938,0.067413,0.65601,2.464,3.546,4,4,1.7,1.25,1,1.25,1,1,2.117,3.172
"CUCUMBER_TEA","LDT_short",568.1515,0.30596,0.90825,2.009,3.476,8,3,3.35,1.4,4.2,1,3,1,1.863,3.149
"SALT_TEACHER","LDT_short",616.7742,0.079066,0.72312,2.998,3.454,4,7,1.6,1.9,1.3,1.85,1,2,2.788,3.116
"CLOAK_TEMPLE","LDT_short",738.3438,0.06347,0.66258,2.188,2.952,5,6,1.9,1.95,1.35,1.95,1,2,1.968,2.613
"PILE_TIGER","LDT_short",668.7419,0.12356,0.52019,2.828,2.976,4,5,1.15,1.7,1,1.55,1,2,2.724,2.645
"BASEMENT_TILE","LDT_short",772.1515,0.15004,0.83919,3.031,2.037,8,4,2.35,1.1,2.2,1,2,1,2.833,1.898
"HERO_TOE","LDT_short",660.5625,0.18021,0.62417,3.405,2.812,4,3,1.55,1,1.6,1,2,1,3.14,2.588
"LIME_TONGUE","LDT_short",646.4688,0.13504,0.72373,2.228,3.201,4,6,1.2,2.2,1,1.15,1,1,2.093,3.048
"RABBI_TOOTHBRUSH","LDT_short",793.0968,0.086029,0.81911,2.535,2.408,5,10,2.45,4.85,2.4,4.3,2,2,2.121,2.286
"ROOST_TOY","LDT_short",600.3333,0.001009,0.7348,1.663,2.934,5,3,1.85,1.05,1.4,1.2,1,1,1.518,2.751
"CLOWN_UNKNOWN","LDT_short",652.1563,0.088239,0.91652,2.907,2.889,5,7,1.8,3.05,1.7,2.5,1,2,2.65,2.771
"LODGE_VINE","LDT_short",706.625,0.1066,0.66261,2.534,2.033,5,4,1.75,1.25,1.7,1,1,1,2.258,1.909
"SHORTCAKE_WAGON","LDT_short",729.7813,0.29732,0.58638,1.431,2.958,9,5,3.6,1.95,3.7,1.95,2,2,1.204,2.671
"DAD_WAITER","LDT_short",703.3438,0.27697,0.92447,4.413,2.829,3,6,1.15,1.7,1,1.35,1,2,3.639,2.638
"SECRETARY_WALL","LDT_short",572.5938,0.072461,0.65144,3.229,3.557,9,4,3.3,1.2,3.4,1,4,1,2.894,3.324
"MONKEY_WASH","LDT_short",646.6875,0.26149,0.65815,3.233,3.318,6,4,1.9,1.25,1.7,1.45,2,1,2.894,3.132
"PRIVATE_WATCH","LDT_short",553.3125,0.18236,0.64295,3.588,4.226,7,5,2.5,1.6,2.25,1.65,2,1,3.354,3.77
"KEY_WEB","LDT_short",679.3438,0.020128,0.6406,3.647,2.673,3,3,1.8,1.7,1,1.7,1,1,3.336,2.461
"FIG_WEIGHT","LDT_short",632.7813,0.021953,0.65056,1.799,3.267,3,6,1.3,1.65,1.15,1,1,1,1.663,3.113
"SCOTCH_WHALE","LDT_short",665.8065,0.15366,0.52179,2.877,2.76,6,5,1.95,1.75,1.75,1.7,1,1,2.68,2.365
"LAUNCH_WHITE","LDT_short",638.5938,0.070908,0.55998,3.008,3.942,6,5,1.85,1.75,1.75,1.65,1,1,2.598,3.526
"GRADE_WOMAN","LDT_short",542.5,0.13925,0.79764,3.174,4.346,5,5,1.4,1.9,1,1.85,1,2,2.997,3.773
"CHEMIST_WOOL","LDT_short",739,0.10695,0.67371,1.982,2.209,7,4,2.45,1.65,2.3,1.35,2,1,1.785,2.121
"CLOTHES_WORLD","LDT_short",586.4194,0.19501,0.91559,3.713,4.366,7,5,2.35,1.85,1.15,1.6,1,1,3.446,3.792
"COZY_YELLOW","LDT_short",556.6452,0.1446,0.74592,2.461,3.237,4,6,1.8,1.85,1.75,1.65,2,2,2.401,3.009
"CRISP_ZOO","LDT_short",645.4688,-0.01904,0.69332,2.209,2.843,5,3,1.9,1.6,1.9,1,1,1,2.114,2.588
"COMEDIAN_ACTOR","LDT_short",616.6563,0.52886,0.97689,2.322,3.128,8,5,2.95,1.9,2.6,1.75,3,2,2.13,2.76
"BARTENDER_ALCOHOL","LDT_short",690.7419,0.26887,0.80203,2.698,2.927,9,7,3.2,3.35,4.15,3.7,3,3,2.505,2.77
"SWAMP_ALLIGATOR","LDT_short",708.1613,0.35921,0.74947,2.662,2.253,5,9,1.65,3.55,1.7,2.9,1,4,2.312,2.1
"INSECT_ANT","LDT_short",592.8387,0.43865,0.96027,2.209,2.438,6,3,1.7,1.2,1.8,1.2,2,1,2.041,2.049
"CHIMPANZEE_APE","LDT_short",673.7813,0.49636,0.95758,1.799,2.694,10,3,4.85,1.15,5.2,1.05,3,1,1.602,2.24
"SAUCE_APPLE","LDT_short",577.5313,0.24189,0.86348,2.901,3.082,5,5,1.75,1.8,1.1,1.75,1,2,2.693,2.839
"DEPUTY_ASSISTANT","LDT_short",685.6129,0.51776,0.95479,2.902,3.216,6,9,2.5,3.2,2.85,2.8,3,3,2.573,2.99
"CELLAR_ATTIC","LDT_short",730.375,0.47508,0.87415,2.68,2.603,6,5,2,2.05,1.45,1.8,2,2,2.373,2.377
"MOTOR_AUTO","LDT_short",610.2424,0.30921,0.83279,2.827,2.593,5,4,1.85,1.9,1.5,1.85,2,2,2.673,2.462
"HANDBAG_BACKPACK","LDT_short",727.6129,0.42197,0.88535,2.13,2.272,7,8,2.65,3,2.7,2.7,2,2,1.778,2.121
"CATCH_BALL","LDT_short",660.1563,0.34359,0.74084,3.84,3.729,5,4,1.65,1,1.35,1,1,1,3.576,3.316
"BANKER_BANK","LDT_short",610.1212,0.58229,0.68222,2.387,3.637,6,4,1.4,1.05,1.55,1.05,2,1,2.207,3.202
"RESTAURANT_BAR","LDT_short",615.9688,0.50625,0.97147,3.376,3.642,10,3,3.75,1,3.75,1,3,1,3.095,3.346
"BASEBALL_BASKETBALL","LDT_short",775.0968,0.53859,0.88717,3.11,3.038,8,10,3.05,4.35,3,4.5,2,3,2.807,2.624
"CELLO_BASS","LDT_short",644.1875,0.36192,0.60191,1.982,2.587,5,4,1.8,1.1,2,1,2,1,1.613,2.352
"SWATTER_BAT","LDT_short",744.5625,0.31142,0.93533,1.079,3.022,7,3,1.85,1,1.75,1,2,1,1,2.75
"SUDS_BATH","LDT_short",614.9375,0.21691,0.68264,1.398,3.201,4,4,1.6,1.2,1.5,1,1,1,1.362,2.998
"BEDROOM_BATHROOM","LDT_short",619.625,0.592,0.91721,3.272,3.498,7,8,2.65,3,2.6,2.7,2,2,3.102,3.264
"SUPPORT_BEAM","LDT_short",739.4848,0.1146,0.73368,3.413,2.649,7,4,2.4,1.5,1.95,1,2,1,3.22,2.367
"ANIMAL_BEAR","LDT_short",739.625,0.33571,0.89064,3.366,3.467,6,4,2.45,1,2.45,1,3,1,3.138,3.176
"ANTELOPE_BEAST","LDT_short",653.4063,0.30688,0.84442,1.708,3.098,8,5,3.25,1.4,3,1.1,3,1,1.532,2.743
"SOFA_BED","LDT_short",625.5806,0.6399,0.95851,2.477,3.98,4,3,1.8,1,1.75,1,2,1,2.356,3.614
"WASP_BEE","LDT_short",561.2813,0.42109,0.90211,1.869,2.724,4,3,1.65,1.1,1.95,1,1,1,1.643,2.396
"CHAMPAGNE_BEER","LDT_short",636.5938,0.47206,0.9299,3.203,3.586,9,4,3.6,1.3,2.6,1,2,1,2.928,3.257
"PEAK_BEST","LDT_short",602.4688,0.061547,0.58964,2.483,4.314,4,4,1.3,1,1,1,1,1,2.334,3.824
"RIDE_BICYCLE","LDT_short",607.5625,0.52467,0.81986,3.839,2.529,4,7,1,2.75,1,2.65,1,3,3.494,2.38
"RACK_BIKE","LDT_short",635.6875,0.30351,0.70133,2.6,3.121,4,4,1.1,1.5,1,1,1,1,2.506,2.76
"PILLOW_BLANKET","LDT_short",604.0645,0.46984,0.83936,2.765,2.821,6,7,1.85,2.25,1.65,2.35,2,2,2.657,2.682
"HOUND_BLOOD","LDT_short",577.4688,0.14679,0.76635,2.412,3.977,5,5,1.6,1.7,1.3,1.6,1,1,2.225,3.547
"CORK_BOARD","LDT_short",688.7273,0.089205,0.67642,2.167,3.515,4,5,1.4,1.7,1.2,1,1,1,2.068,3.226
"GRAVY_BOAT","LDT_short",718.4839,0.13977,0.79148,2.431,3.689,5,4,1.9,1.25,1.75,1,2,1,2.281,3.164
"BOTTLE_BOOZE","LDT_short",685.1875,0.42499,0.69954,3.413,2.747,6,5,1.8,1.9,1.45,1,2,1,3.194,2.627
"CAPTAIN_BOSS","LDT_short",646.6129,0.29002,0.68325,4.026,3.802,7,4,2.5,1.5,1.85,1.15,2,1,3.252,3.368
"VIOLIN_BOW","LDT_short",709.2424,0.33745,0.69642,2.386,3.015,6,3,2.65,1,2.3,1,2,1,2.09,2.785
"SQUARE_BOX","LDT_short",608.75,0.15684,0.83526,3.21,3.661,6,3,1.85,1.4,1.8,1.05,1,1,3.031,3.372
"CHAMPION_BOXER","LDT_short",584.0313,0.50782,0.73231,3.029,2.295,8,5,2.85,1.75,3.25,1.95,2,2,2.709,2.057
"FLOUR_BREAD","LDT_short",600.2813,0.47871,0.91297,2.209,3.16,5,5,1.85,1.55,1.7,1.2,1,1,2.045,2.956
"EGG_BREAKFAST","LDT_short",669.7813,0.31066,0.88857,3.123,3.529,3,9,1.9,3.3,1.4,3.2,1,2,2.861,3.294
"HOUSE_BRICK","LDT_short",659.125,0.34012,0.76192,4.418,2.716,5,5,1.6,1.6,1.65,1.15,1,1,3.781,2.408
"WEDDING_BRIDE","LDT_short",613.0313,0.70214,0.97084,3.714,3.092,7,5,1.8,1.55,1.2,1.2,2,1,3.219,2.805
"SIBLING_BROTHER","LDT_short",571.8,0.39184,0.97103,1.699,4.161,7,7,2,1.9,2,1.9,2,2,1.613,3.579
"BROOM_BRUSH","LDT_short",618.4688,0.33523,0.8989,2.387,2.859,5,5,1.7,1.7,1.45,1.65,1,1,2.255,2.767
"TUB_BUCKET","LDT_short",620.0323,0.42563,0.83576,2.812,2.709,3,6,1.3,1.85,1.1,1.85,1,2,2.665,2.593
"RODENT_BUG","LDT_short",649.0645,0.26712,0.68309,1.968,3.029,6,3,1.95,1.05,2.45,1,2,1,1.869,2.766
"COMPLEX_BUILDING","LDT_short",641.7097,0.24894,0.98434,2.826,3.706,7,8,2.3,2.2,3.25,1.85,2,2,2.697,3.382
"PLANT_BUSH","LDT_short",716.4688,0.1501,0.73119,3.149,2.858,5,4,1.55,1.3,1.6,1.6,1,1,2.92,2.606
"POPCORN_BUTTER","LDT_short",717.5806,0.32954,0.90034,2.668,3.018,7,6,3,1.3,3.7,1,2,2,2.491,2.828
"MONARCH_BUTTERFLY","LDT_short",687.6452,0.35877,0.97333,1.633,2.45,7,9,2.8,3.25,2.35,4.2,2,3,1.505,2.272
"HAIL_CAB","LDT_short",775.5806,0.31127,0.5456,2.788,3.262,4,3,1.15,1.1,1,1,1,1,2.525,2.983
"SPINACH_CABBAGE","LDT_short",681.4848,0.50663,0.92069,2.117,2.173,7,7,2.9,2.85,2.75,2.55,2,2,1.959,2.041
"BOOT_CAMP","LDT_short",563.2727,0.40131,0.65276,2.755,3.417,4,4,1,1.2,1,1.3,1,1,2.574,3.039
"EMPTY_CAN","LDT_short",618.5625,0.31883,0.85087,3.382,5.428,5,3,2.35,1,2.3,1,2,1,3.247,3.922
"STAMP_CARD","LDT_short",647.4194,0.18988,0.7841,2.481,3.639,5,4,1.7,1.15,1.7,1,1,1,2.348,3.324
"PLUSH_CARPET","LDT_short",615.8125,0.31284,0.70238,1.462,2.775,5,6,1.7,1.9,1.55,1.95,1,2,1.447,2.586
"TURNIP_CARROT","LDT_short",631.7813,0.40355,0.88552,1.949,2.292,6,6,2.35,1.9,2.3,1.65,2,2,1.663,2.093
"RAT_CAT","LDT_short",541.9032,0.49784,0.88748,3.221,3.529,3,3,1,1,1,1,1,1,2.974,3.142
"BOARD_CHALK","LDT_short",707.1875,0.11363,0.7032,3.515,2.265,5,5,1.7,1.95,1,1.45,1,1,3.226,2.158
"BONE_CHICKEN","LDT_short",606.9063,0.27187,0.64044,3.124,3.498,4,7,1.1,2.15,1,1.95,1,2,2.933,3.196
"EMPIRE_CHINA","LDT_short",614.8387,0.26636,0.8257,2.811,3.103,6,5,2.05,1.9,2.35,1.95,2,2,2.569,2.801
"CHISEL_CHIP","LDT_short",582.7742,0.09809,0.77128,1.663,3.022,6,4,1.95,1.35,1.9,1.2,2,1,1.591,2.691
"SHELL_CLAM","LDT_short",802.6875,0.50095,0.91418,2.829,2.303,5,4,1.55,1.45,1,1.15,1,1,2.606,2.201
"PIPE_CLEANER","LDT_short",629.125,0.20794,0.7527,2.996,2.549,4,7,1.45,1.8,1.25,1.9,1,2,2.809,2.447
"BLUFF_CLIFF","LDT_short",648.7188,0.26984,0.96975,2.502,3.042,5,5,1.85,1.95,1.7,1.65,1,1,2.334,2.582
"HEDGE_CLIPPER","LDT_short",700.5,0.11174,0.56387,1.903,1.778,5,7,1.75,1.7,1.65,1.75,1,2,1.771,1.613
"TOWEL_CLOTH","LDT_short",621.3438,0.3706,0.88874,2.859,2.494,5,5,1.65,1.85,1.75,1.65,1,1,2.721,2.375
"COSTUME_CLOTHES","LDT_short",693.4375,0.49652,0.97755,2.858,3.713,7,7,2.55,2.35,2.65,1.15,2,1,2.598,3.446
"BALLOON_CLOWN","LDT_short",634.8485,0.35845,0.76308,2.646,2.907,7,5,2.4,1.8,1.75,1.7,2,1,2.418,2.65
"HANGER_COAT","LDT_short",634.9688,0.31781,0.75876,1.845,3.332,6,4,1.6,1.35,1.75,1,2,1,1.74,3.105
"SUGAR_COFFEE","LDT_short",597.0938,0.45659,0.87207,3.285,3.868,5,6,1.95,2.55,1.9,1.9,2,2,3.06,3.483
"CAN_COKE","LDT_short",631.6061,0.26777,0.69476,5.428,2.977,3,4,1,1.3,1,1,1,1,3.922,2.683
"DICTATOR_COMMUNIST","LDT_short",770.0645,0.33941,0.8153,2.037,2.588,8,9,2.7,2.5,2.6,2.95,3,3,1.863,2.17
"STADIUM_CONCERT","LDT_short",694.9697,0.34889,0.62103,2.495,2.952,7,7,2.8,1.7,2.65,2.5,2,2,2.267,2.621
"CRANE_CONSTRUCTION","LDT_short",738.0303,0.25221,0.91379,3.234,2.849,5,12,1.65,2.35,1.1,2.55,1,3,2.504,2.661
"PEST_CONTROL","LDT_short",626.3438,0.26943,0.66733,2.167,3.824,4,7,1.15,2.85,1,2.55,1,2,2.053,3.514
"CAPE_CORAL","LDT_short",725.1613,0.13515,0.62503,2.624,2.086,4,5,1.1,1.75,1,1.55,1,2,2.354,1.763
"FIELD_CORN","LDT_short",631,0.25265,0.66153,3.554,2.861,5,4,1.75,1.2,1.05,1,1,1,3.283,2.606
"OBJECTIVE_COURSE","LDT_short",607.2581,0.11192,0.65103,2.556,4.395,9,6,2.65,1.85,2.65,1.05,3,1,2.433,3.824
"TOP_COVER","LDT_short",622.7097,0.25201,0.71213,3.833,3.682,3,5,1,1.25,1,1.65,1,2,3.557,3.445
"WALNUT_CRACK","LDT_short",715.3125,0.14714,0.72455,2.004,3.224,6,5,2.65,1.6,3.55,1,2,1,1.771,3.077
"NUT_CRACKER","LDT_short",655.5313,0.35556,0.93668,2.902,2.47,3,7,1.4,1.85,1,1.75,1,2,2.742,2.308
"CHALK_CRAYON","LDT_short",759.25,0.34465,0.94517,2.265,1.342,5,6,1.95,2.55,1.45,1.85,1,2,2.158,1.322
"CONE_CUP","LDT_short",576.7419,0.2109,0.858,2.176,3.421,4,3,1,1.4,1,1.05,1,1,2.061,3.195
"SON_DAD","LDT_short",591.75,0.60968,0.98239,4.321,4.413,3,3,1,1.15,1,1,1,1,3.712,3.639
"DIGGER_DAGGER","LDT_short",784.375,0.13663,0.64701,2.391,2.401,6,6,1.8,1.9,1.5,1.9,2,2,1.839,2.041
"FLOOD_DAM","LDT_short",860.0313,0.40616,0.67837,2.465,2.468,5,3,1.75,1,1.65,1,1,1,2.308,2.097
"MOOSE_DEER","LDT_short",638.25,0.46158,0.94306,2.452,2.648,5,4,1.6,1.35,1.15,1,1,1,2.104,2.391
"TACKLE_DEFENSE","LDT_short",719.5625,0.13423,0.68146,2.342,3.222,6,7,1.85,2.25,1.65,1.95,2,2,2.238,2.921
"SHELF_DESK","LDT_short",696.6774,0.35953,0.89746,2.551,3.35,5,4,1.85,1.8,1.6,1.75,1,1,2.439,3.148
"PICKLE_DILL","LDT_short",641.2188,0.38961,0.66768,2.373,1.959,6,4,1.7,1.2,1.6,1,2,1,2.155,1.532
"CAFE_DINNER","LDT_short",589.9688,0.27139,0.7897,2.413,4.014,4,6,1.45,1.75,1.85,1.4,2,2,2.228,3.598
"COMPUTER_DISC","LDT_short",706.6061,0.28144,0.74718,3.479,2.121,8,4,2.1,1.8,2.65,1.65,3,1,3.088,1.892
"SWAN_DIVE","LDT_short",678.9688,0.23077,0.75261,2.543,2.816,4,4,1.4,1.1,1.55,1.2,1,1,2.033,2.52
"STAG_DOE","LDT_short",740.8065,0.17309,0.92447,1.914,2.346,4,3,1.35,1,1.35,1,1,1,1.756,2.107
"TOY_DOLL","LDT_short",537.871,0.55133,0.94564,2.934,3.102,3,4,1.05,1.35,1.2,1.25,1,1,2.751,2.812
