"Participant","VersionNum","VersionHand","Age","Gender","NAART","EHI","EHI_LRA","mean_c","mu_c","sig_c","tau_c","mean_a","mu_a","sig_a","tau_a","zr","a","v_abs","v_con","t0","st0"
87,7,"R","21","F",8,0.5556,"R",0.975719128329298,0.614582201948055,0.0554401984583838,0.361129610862552,1.11007505518764,0.728992569173103,0.101534993554669,0.381164229803101,0.6833,1.7344,-1.9299,0.7991,0.5786,0.2855
88,8,"R","20","F",19,0.6,"R",0.957064903846154,0.65379470281705,0.0684939615284382,0.303289825302714,1.04327067669173,0.643442713235148,0.0599325281732893,0.399876665682042,0.58,1.4874,-1.2299,1.0996,0.5629,0.2382
90,10,"R","23","F",21,1,"R",0.828320099255583,0.596209928156495,0.0721431506232324,0.232077129583553,0.924441396508728,0.686909998189186,0.0815392690751521,0.237535029852041,0.659,1.3177,-1.6912,0.7171,0.5524,0.1695
91,1,"L","19","M",21,-0.6923,"L",0.987300215982721,0.680546206807923,0.0854074519992568,0.306785046860725,1.09963157894737,0.782500207733527,0.111157508500008,0.317194976230793,0.5357,1.6236,-1.1916,1.4847,0.5803,0.183
92,2,"R","20","F",14,1,"R",1.02661096605744,0.745541952814395,0.0850009755338781,0.28110271292666,1.04211557788945,0.73195732853363,0.106545751794222,0.310215137242422,0.5416,1.3763,-1.1163,0.9041,0.6491,0.2667
93,3,"R","19","F",18,0.7143,"R",0.951589285714286,0.628609612623198,0.0513312310084085,0.322934041382187,1.06221686746988,0.718215701933475,0.0750967134131068,0.344024604036573,0.5925,1.5693,-1.3096,1.2683,0.5651,0.1933
94,4,"R","29","F",28,0.7895,"R",0.917797802197802,0.675458063186481,0.0741450299164295,0.24231539987674,0.956703539823009,0.732892230621333,0.0815722834128041,0.223838335171719,0.5799,1.4913,-2.1106,1.7739,0.6101,0.2566
95,5,"R","22","F",16,0.75,"R",0.9539625,0.663089978387306,0.0682496409443229,0.290896233548639,0.956645320197044,0.662286031088382,0.0389621015882017,0.294374499786308,0.5,1.3562,-1.1356,1.0179,0.5893,0.1276
96,6,"R","19","M",7,0.4118,"R",0.763076517150396,0.597697564097875,0.0660554916806406,0.165393081632791,0.783408227848101,0.612859814707256,0.0751324043685401,0.170557437076395,0.5,1.0284,-0.6671,1.2317,0.5397,0.2008
97,7,"R","23","NA",3,0.7391,"R",1.17870175438596,0.821515759022082,0.135244804428606,0.357141967857109,1.24530690537084,0.826201674312951,0.122319354724355,0.418970821527775,0.5208,1.4184,-0.9013,0.8722,0.7641,0.4261
98,8,"R","20","F",15,0.8571,"R",0.737411085450346,0.562814257076235,0.0644974496202357,0.174592337508177,0.803344827586207,0.627971414997302,0.0605603725344587,0.175369886386155,0.5999,1.1684,-1.5017,1.243,0.522,0.1617
99,9,"R","23","F",20,0.7,"R",0.863087976539589,0.5170926885549,0.0776738602470954,0.346029079659227,0.818330845771144,0.50699383565243,0.128666713001048,0.311247574312717,0.5208,1.4289,-1.4333,0.8506,0.4193,0.1725
101,1,"R","20","F",15,0.9091,"R",0.792194070080863,0.636871625022471,0.0574065040327911,0.155311098806908,0.804918414918415,0.669924084557648,0.0769353378813282,0.135003895733127,0.6315,1.1032,-2.4752,0.7925,0.586,0.2124
102,2,"R","21","F",18,0.9091,"R",1.1451746031746,0.738927302398036,0.07391649474543,0.406234045532325,1.29378521939954,0.828459018669641,0.0897578459997874,0.465218967067768,0.6333,1.7506,-1.549,1.2007,0.6814,0.4051
103,3,"R","20","F",17,0.6923,"R",1.0772471395881,0.619155891951175,0.0649774951799535,0.458018415389462,1.25423869346734,0.709933495209132,0.109966610569143,0.544245705385662,0.6034,1.7172,-1.1584,1.0312,0.5677,0.3979
104,4,"R","19","NA",5,0.7895,"R",0.927717539863326,0.597573949821519,0.0494574418007407,0.330143231368887,1.04013075060533,0.675131890914584,0.078491788753094,0.364980100632253,0.611,1.5919,-1.359,1.1093,0.5238,0.1578
105,5,"R","20","F",21,0.7273,"R",0.98179006772009,0.642624753143592,0.069386426446841,0.339091187814264,1.11546534653465,0.736519425674427,0.0876763414756967,0.378897490805853,0.6071,1.6227,-1.3116,1.2174,0.566,0.1238
106,6,"R","24","NA",21,0.75,"R",0.878047191011236,0.618772480092983,0.0517889614862485,0.259296947089246,0.978407494145199,0.738483340596799,0.0679084421982978,0.239924207812643,0.6458,1.4337,-1.6888,1.0988,0.5841,0.1621
107,7,"L","21","F",25,-0.3043,"L",0.838144859813084,0.678450590138477,0.0775727196557718,0.159677813908919,0.864877995642702,0.75302170544158,0.125868986607019,0.111872539052592,0.675,1.142,-2.9679,1.1583,0.6475,0.319
108,8,"R","21","F",22,0.7692,"R",0.795047281323877,0.571323782904729,0.0429830523622895,0.22376800131668,0.881612745098039,0.620724687463518,0.0501550276891618,0.260893427409778,0.6363,1.2925,-1.6872,1.0737,0.5335,0.1475
109,9,"R","20","M",23,0.84,"R",0.817695035460993,0.652815284521889,0.0545420775645014,0.164897356162519,0.831186788154898,0.633258467050828,0.0556535783888287,0.197921813903206,0.525,1.1889,-1.8014,1.6681,0.5788,0.1888
110,10,"R","20","F",7,0.84,"R",0.871439678284182,0.638845420107918,0.0597952008549368,0.232646903601282,0.937922872340425,0.683381273979503,0.055315691644544,0.254537401322162,0.5952,1.2121,-1.2955,0.6228,0.5952,0.1469
